Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Collection URL (product.metafields.custom.collection_url),enable_best_price (product.metafields.custom.enable_best_price),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / United States,Price / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,Video Src,Video Name,Variants,Battery Option Value,Battery Price
captain-america-rc-flying-figure-and-captain-america-big-head-flying-toys-bundle,Captain America Flying Figure & Big Head Bundle,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <img data-mce-fragment=""1"" alt="""" src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/captain_figure_soon.png?v=1623682691"" data-mce-src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/captain_figure_soon.png?v=1623682691"">Join the superhero ranks to save the planet with this Official Marvel Licensed Trendtimes Captain America 2CH IR RC Helicopter. Lead the cavalry into victory with this super soldier RC Helicopter and the choice of 3 distinct Heroic Action Phrases! It also features 2 channel and IR control. And it is RTF (Ready To Fly) out of the box. Assemble the Avengers, True Believer and save the world with the Trendtimes Captain America 2CH IR RC Helicopter today!<br>
<p><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/8blGmZi3zqA?rel=0"" height=""315"" width=""560"" allowfullscreen="""" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" frameborder=""0""></iframe></p>
<p><strong>Features:</strong></p>
<ul>
<li>Officially Licensed by Marvel Comics</li>
<li>Features 3 Variant Heroic Action Phrases</li>
<li>Twin Rotors for Stability and Control</li>
<li>Ready To Fly</li>
<li>For kids 8 and up</li>
</ul>
<p><strong>Includes:</strong></p>
<ul>
<li>Marvel Licensed Avengers Captain America 2CH IR RC Helicopter</li>
<li>IR Transmitter</li>
</ul>
<p><strong>Battery Requirements:</strong></p>
<ul>
<li>Vehicle: Internal LiPo Battery <strong>(Included)</strong>
</li>
<li>Transmitter: <a>6 AA Batteries</a> <strong>(Not Included)</strong>
</li>
</ul>
<p><strong><img src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/captain_figure_icon_5f378b50-bb8d-4b92-9569-6602783cbce4.png?v=1623682707"" alt=""""></strong></p>
<p><img data-mce-fragment=""1"" alt="""" src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/captain_america_soon.png?v=1623358301"" data-mce-src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/captain_america_soon.png?v=1623358301"">Introducing the Marvel Licensed Captain America 3.5 Inch Flying Figure IR UFO Big Head Helicopter! Stand for justice with this Captain America big head helicopter featuring a coaxial rotor system for precise movement and increased stability when hovering. The UFO Big Head Helicopters body is also constructed with a durable material making it strong yet lightweight so you don't have to worry about breaking anything when it lands a bit too rough. Simply turn on and launch to get started, holding your hand underneath it will keep it hovering up in the air. When done flying you can try and grab it but you can also use the included remote control to shut down and recover safely, it's that easy! A must have for fans of helicopters, get the Marvel Licensed Captain America 3.5 Inch Flying Figure IR UFO Big Head Helicopter today!</p>
<p><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/mKlqHvCkiDo?rel=0"" height=""315"" width=""560"" allowfullscreen="""" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" frameborder=""0""></iframe></p>
<p><strong>Features:</strong></p>
<ul>
<li>Marvel Licensed</li>
<li>Electric Powered</li>
<li>Durable Constructed Material</li>
<li>Easy to Fly</li>
<li>Master Hand / Eye Coordination</li>
<li>Advanced Infrared Hover Sensor Technology</li>
<li>Battery Charges with USB Charger</li>
<li>
<p class=""p1"">For kids ages 6 and up</p>
</li>
</ul>
<p><strong>Includes:</strong></p>
<ul>
<li>Marvel Licensed Captain America 3.5 Inch Flying Figure IR UFO Big Head Helicopter</li>
<li>Remote Control</li>
<li>USB Charger</li>
</ul>
<p><img src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/captain_america_icons.png?v=1623358323"" alt=""""></p>
                      </div></div>
            </div>",Hobbytron,Home > All > Captain America Flying Figure & Big H...,,,True,,,,,,,33190-33242,0,shopify,10,deny,manual,56.95,90,True,True,,https://hobbytron.com/cdn/shop/products/CAPTAIN-AMERICA-FF-AND-BIG-HEAD-BEAUTY-SHOT-v1_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,59.95,True,True,,,,,,,active,"https://www.youtube.com/embed/8blGmZi3zqA?rel=0,https://www.youtube.com/embed/mKlqHvCkiDo?rel=0",,"{'id': 44166618448183, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': '33190-33242', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Captain America Flying Figure & Big Head Bundle', 'public_title': None, 'options': ['Default Title'], 'price': 5995, 'weight': 0, 'compare_at_price': 9000, 'inventory_management': 'shopify', 'barcode': '', 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
captain-america-rc-flying-figure-and-captain-america-big-head-flying-toys-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/CAPTAIN-AMERICA-FF-AND-BIG-HEAD-WHATS-IN-THE-BOX-v1_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
captain-america-rc-flying-figure-and-captain-america-big-head-flying-toys-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/CAPTAIN-AMERICA-FF-AND-BIG-HEAD-MAIN-PIC-v1_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hendy-large-porsche-cayenne-turbo-1-14-electric-rc-car,Hendy Large Porsche Cayenne Turbo 1:14 Electric RC Car,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>Get ready to race with the Hendy Large Porsche Cayenne Turbo 1:14 Electric RC Car! Modeled at 1:14 scale after the luxurious and high powered Porsche Cayenne Turbo, this RC car is built just like the real thing. With a full function remote control and rubber tires, this RC car can be driven like a pro! All you need to get started is to power up the rechargeable batteries for the car and put in two AA batteries for the transmitter. The Hendy Large Porsche Cayenne Turbo 1:14 Electric RC Car makes a great addition to any RC enthusiastâ€šâ€žs garage!</p>
<p><strong>Features:</strong></p>
<ul>
<li>Electric Powered</li>
<li>Full Function Radio Control</li>
<li>1:14 Scale</li>
<li>Officially Licensed</li>
<li>Ready To Run</li>
<li>Rubber Tires</li>
</ul>
<p><strong>Includes:</strong></p>
<ul>
<li>Hendy Large Porsche Cayenne Turbo 1:14 Electric RC Car</li>
<li>Transmitter</li>
<li>4.8V Rechargeable Battery Pack</li>
</ul>
<p><strong>Specifications:</strong></p>
<ul>
<li>Length: 12 Inches</li>
<li>Width: 4 Inches</li>
<li>Height: 3.5 Inches</li>
</ul>
<p><strong>Battery Requirements:</strong></p>
<ul>
<li>RC Vehicle: 4.8V Rechargeable Battery Pack <strong>(Included)</strong>
</li>
<li>Transmitter: 2 AA Batteries <strong>(Not Included)</strong>
</li>
</ul>
                      </div></div>
            </div>",Hobbytron,Home > All > Hendy Large Porsche Cayenne Turbo 1:1...,,,True,,,,,,,ZX-HM2014,0.01,shopify,0,deny,manual,33.2,50,True,True,,https://hobbytron.com/cdn/shop/products/ZX-HM2014-lg_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,34.95,True,True,,,,,,,active,,,"{'id': 44044663456055, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'ZX-HM2014', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': False, 'name': 'Hendy Large Porsche Cayenne Turbo 1:14 Electric RC Car', 'public_title': None, 'options': ['Default Title'], 'price': 3495, 'weight': 1, 'compare_at_price': 5000, 'inventory_management': 'shopify', 'barcode': None, 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
mobile-dessert-truck-27-piece-playset,Mobile Dessert Truck 27 Piece Playset,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>This Mobile Dessert Truck RV 27 Piece Playset includes everything your child needs to pretend play running their own dessert truck. This product helps children develop their imagination through role play and storytelling. Playset comes with fun accessories that mimic real life day to day experiences. The mobile RV packs up neatly so you can take your garage anywhere. Let your child live real-life experiences with this roleplaying Imagine Zone playset.</p>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/AIgFJeZJSbs?REL=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>
<p><br> <strong>Features:</strong></p>
<ul type="""">
<li>Encourage imagination and creativity.</li>
<li>Multiple set up options</li>
<li>Easy storage</li>
<li>Vibrant and Colorful</li>
<li>Perfect for Pretend Play</li>
</ul>
<p><strong>Includes:</strong></p>
<ul type="""">
<li>Mobile Dessert Truck RV</li>
<li>4x Lollipops</li>
<li>4x Popsicle</li>
<li>4x Ice Cream Cups</li>
<li>2x Donuts</li>
<li>2x Cups</li>
<li>1x Table</li>
<li>1x Ice Cream Stand</li>
</ul>
<p><strong>Specifications:<br> <br> </strong>CLOSED</p>
<ul type="""">
<li>Length: 16.45 Inches</li>
<li>Width: 6.45 Inches</li>
<li>Height: 7.5 Inches</li>
</ul>
<p>OPEN</p>
<ul type="""">
<li>Length: 16.45 Inches</li>
<li>Width: 11.15 Inches</li>
<li>Height: 11.75 Inches</li>
</ul>
                      </div></div>
            </div>",Hobbytron,Home > All > Mobile Dessert Truck 27 Piece Playset,,,True,,,,,,,ZX-36048,13.61,shopify,10,deny,manual,23.7,45,True,True,,https://hobbytron.com/cdn/shop/products/Mobile-Dessert-Truck-27-Pieces-Open_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,24.95,True,True,,,,,,,active,https://www.youtube.com/embed/AIgFJeZJSbs?REL=0,,"{'id': 43671444554039, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'ZX-36048', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Mobile Dessert Truck 27 Piece Playset', 'public_title': None, 'options': ['Default Title'], 'price': 2495, 'weight': 1361, 'compare_at_price': 4500, 'inventory_management': 'shopify', 'barcode': '810086390489', 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
mobile-dessert-truck-27-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/53_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobile-dessert-truck-27-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/Accessories_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobile-dessert-truck-27-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/Mobile-Dessert-Truck-27-Pieces-In-Box_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobile-dessert-truck-27-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/Mobile-Dessert-Truck-27-Pieces-Outside-Box_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diecast-cruisers-catapult-truck-13-piece-playset,Diecast Cruisers Catapult Truck 13 Piece Playset,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>Catapult your race car into action with this Trendtimes Diecast Cruisers 13-Piece Catapult Truck Playset. With the built-in launch button, send out your fastest cars from the catapult truck into the race! This playset comes complete with a catapult truck, 4 race cars, street accessories, and lots of stickers to personalize your launch truck. Get ready for the race of a lifetime with the Trendtimes Diecast Cruisers 13-Piece Catapult Truck Playset!<br></p>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ti6crLQ7N9I?rel=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>
<p>Features:</p>
<ul>
<li>Encourage imagination and creativity</li>
<li>Diecast Race Cars</li>
<li>Catapult Truck with Launch Button</li>
<li>Street Accessories</li>
<li>Slide Action Ramp</li>
<li>13 Piece set</li>
</ul>
<p>Includes:</p>
<ul>
<li>4 Diecast Race Cars</li>
<li>Catapult Truck</li>
<li>Placement Stickers</li>
<li>Roadblock Sign Accessory</li>
<li>Construction Worker Figurine</li>
<li>Streetlight Accessory</li>
<li>Gas Pump Accessory</li>
</ul>
                      </div></div>
            </div>",Hobbytron,Home > All > Diecast Cruisers Catapult Truck 13 Pi...,,,True,,,,,,,ZX-35147,20,shopify,10,deny,manual,28.45,50,True,True,,https://hobbytron.com/cdn/shop/products/DIECAST_CRUISERS-35147-CATAPULT-TRUCK-FRONT-MAIN_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,29.95,True,True,,,,,,,active,https://www.youtube.com/embed/ti6crLQ7N9I?rel=0,,"{'id': 39684625793127, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'ZX-35147', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Diecast Cruisers Catapult Truck 13 Piece Playset', 'public_title': None, 'options': ['Default Title'], 'price': 2995, 'weight': 2000, 'compare_at_price': 5000, 'inventory_management': 'shopify', 'barcode': None, 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
