Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Collection URL (product.metafields.custom.collection_url),enable_best_price (product.metafields.custom.enable_best_price),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / United States,Price / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,Video Src,Video Name,Variants,Battery Option Value,Battery Price
world-tech-toys-nano-monster-power-launchers-12-piece-monster-truck-playset,Nano Monster Truck Playset,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>Get excited with this Trendtimes Nano Monster Power Launchers 12-Piece Monster Truck Playset. This playset comes with 2 different colored Nano Monster Trucks, 2 Power Key Launchers as well as 2 barrels, 2 traffic cones, 2 street signs, 1 street light, 1 ramp and 1 ring of fire. Insert the Power Key Launcher into the back of any Nano Monster and press the button on the Power Key to launch them at incredible speeds. You can set up the playset pieces however you'd like and launch these monster trucks through the awesome ring of fire. Durable polymer construction gives these Nano Monsters the ability to take hard hits and keep on racing. At an inch and a quarter tall take these little monsters with you anywhere. Get your Trendtimes Nano Monster Power Launchers 12-Piece Monster Truck Playset and start launching these awesome monster trucks today!</p><p><strong>Features:</strong></p><ul> <li>Durable Polymer Construction</li> <li>High Speed Launching Action</li> <li>12-Piece Playset</li> <li>Ages 3+</li> <li>Quick and Easy Set Up</li>
</ul><p><strong>Includes:</strong></p><ul> <li>Trendtimes Nano Monster Power Launchers 12-Piece Monster Truck Playset</li>
</ul>
                      </div></div>
            </div>",Hobbytron,Home > All > Nano Monster Truck Playset,,cars&tracks,True,,,,,,,ZX-35154,2.27,shopify,10,deny,manual,12.3,25,True,True,,https://hobbytron.com/cdn/shop/products/ZX-35154-High-Resolution-Image-1_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,12.95,True,True,,,,,,,active,,,"{'id': 33072589701223, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'ZX-35154', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Nano Monster Truck Playset', 'public_title': None, 'options': ['Default Title'], 'price': 1295, 'weight': 227, 'compare_at_price': 2500, 'inventory_management': 'shopify', 'barcode': '813023021545', 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
world-tech-toys-nano-monster-power-launchers-12-piece-monster-truck-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/files/ZX-35154-High-Resolution-Image-6_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
world-tech-toys-nano-monster-power-launchers-12-piece-monster-truck-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/files/ZX-35154-High-Resolution-Image-5_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
world-tech-toys-nano-monster-power-launchers-12-piece-monster-truck-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/files/ZX-35154-High-Resolution-Image-2_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoda-heli-ball,Yoda Heli Ball,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>Introducing the Star Wars Yoda IR UFO Heli Ball! Featuring a coaxial rotor system for precise movement and increased stability when hovering. The UFO Ball Helicopters body is also constructed with a durable material making it strong yet lightweight so you don't have to worry about breaking anything when it lands a bit too rough. Simply turn on and launch to get started, holding your hand underneath it will keep it hovering up in the air. When done flying you can try and grab it but you can also use any IR remote control to shut down and recover safely, it's that easy! A must have for fans of helicopters, get the Star Wars Yoda IR UFO Heli Ball today!</p>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZP3tBaLAPio?rel=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>
<p>&nbsp;</p>
<p><strong>Features:</strong></p>
<ul>
<li>Officially Licensed by Star Wars</li>
<li>Electric Powered</li>
<li>Durable Constructed Material</li>
<li>Easy to Fly</li>
<li>Master Hand / Eye Coordination</li>
<li>Advanced Infrared Hover Sensor Technology</li>
<li>Battery Charges with USB Charger</li>
<li>
<p class=""p1"">For kids ages 6 and up</p>
</li>
</ul>
<p><strong>Includes:</strong></p>
<ul>
<li>Star Wars Yoda IR UFO Heli Ball</li>
<li>USB Charger</li>
<li>2 Spare Rotors</li>
</ul>
<p>&nbsp;</p>
14.95
                      </div></div>
            </div>",Hobbytron,Home > All > Yoda Heli Ball,,"heilbal, heilball, heillball, helibal, heliball, heliblall, helli, helliball, star, star wars, starwars, wars",True,,,,,,,ZX-36624,1.36,shopify,10,deny,manual,9.45,20,True,True,,https://hobbytron.com/cdn/shop/files/yodaball_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,9.95,True,True,,,,,,,active,https://www.youtube.com/embed/ZP3tBaLAPio?rel=0,,"{'id': 39470782054503, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'ZX-36624', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Yoda Heli Ball', 'public_title': None, 'options': ['Default Title'], 'price': 995, 'weight': 136, 'compare_at_price': 2000, 'inventory_management': 'shopify', 'barcode': '813023018491', 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
yoda-heli-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/04_b21bb085-feb7-4c1b-adb4-74f0b1678a83_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoda-heli-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/06_f706d3e9-c7e1-4670-847a-c87404908171_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoda-heli-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/05_82828dbc-1903-4640-8a27-1460c5adae31_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoda-heli-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/03_db929e7c-8325-4e2a-8ed7-580aae80c2db_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoda-heli-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/02_63d7f35f-de82-4e86-96b8-192f30c571fb_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
